"gage","name","latitude","longitude","drain_area_km2","record_length_yr","start_date","end_date"
"03327500","WABASH RIVER AT PERU, IN",40.75,-86.0666667,6956.74695674696,75,1943-10-01,2018-06-03
"03333450","WILDCAT CREEK NEAR JEROME, IN",40.44127778,-85.91875,378.140378140378,56,1961-08-01,2018-06-03
"03335500","WABASH RIVER AT LAFAYETTE, IN",40.42194444,-86.8969444,18821.5488215488,91,1923-10-01,2018-06-03
"03335700","BIG PINE CR NR WILLIAMSPORT IND",40.31753699,-87.290567,836.570836570837,31,1955-10-01,1987-09-30
"03336000","WABASH RIVER AT COVINGTON, IN",40.1400377,-87.4066805,21284.6412846413,83,1939-10-01,2018-06-03
"03339000","VERMILION RIVER NEAR DANVILLE, IL",40.10087009,-87.5972419,3341.10334110334,91,1914-10-01,2018-06-03
"03340500","WABASH RIVER AT MONTEZUMA, IN",39.79253835,-87.3739053,28795.6487956488,89,1927-10-01,2018-06-03
"03340800","BIG RACCOON CREEK NEAR FINCASTLE, IN",39.8125446,-86.9538988,360.01036001036,59,1957-08-01,2018-06-03
"03342000","WABASH RIVER AT RIVERTON, IN",39.0203202,-87.5686344,34087.0240870241,78,1938-10-01,2018-06-03
"03345500","EMBARRAS RIVER AT STE. MARIE, IL",38.93643266,-88.0225351,3926.44392644393,97,1908-08-16,2018-06-03
"03346000","NORTH FORK EMBARRAS RIVER NEAR OBLONG, IL",39.01004218,-87.9455882,823.620823620824,76,1940-10-01,2018-06-03
"03353500","EAGLE CREEK AT INDIANAPOLIS, IN",39.7778212,-86.2502673,450.660450660451,26,1939-04-01,2018-06-03
"03360000","EEL RIVER AT BOWLING GREEN, IN",39.38282038,-87.020568,2149.70214970215,69,1931-04-01,2018-06-03
"03365500","EAST FORK WHITE RIVER AT SEYMOUR, IN",38.982553,-85.8991444,6063.19606319606,80,1927-10-01,2018-06-03
"03373500","EAST FORK WHITE RIVER AT SHOALS, IN",38.66699568,-86.79194299,12760.9427609428,107,1903-10-01,2018-06-03
"03378000","BONPAS CREEK AT BROWNS, IL",38.3864372,-87.9755884,590.520590520591,74,1916-12-28,2018-06-03
"03378635","LITTLE WABASH RIVER NEAR EFFINGHAM, IL",39.10393125,-88.5942179,621.600621600622,50,1966-10-01,2018-06-03
